20, 10, 2, 10
17, 10, 2, 2
13, 10, 2, 23
19, 10, 2, 10
15, 10, 2, 7
15, 10, 2, 5
14, 10, 2, 17
19, 10, 2, 14
13, 10, 2, 5
13, 10, 2, 8
15, 10, 3, 9
15, 10, 3, 33
17, 10, 3, 14
13, 10, 3, 43
13, 10, 3, 27
14, 10, 3, 15
15, 10, 3, 15
13, 10, 3, 15
13, 10, 3, 32
13, 10, 3, 9
15, 10, 4, 27
14, 10, 4, 48
14, 10, 4, 46
36, 10, 4, 49
13, 10, 4, 32
13, 10, 4, 44
14, 10, 4, 35
15, 10, 4, 15
13, 10, 4, 27
14, 10, 4, 26
14, 10, 6, 68
14, 10, 6, 272
14, 10, 6, 183
18, 10, 6, 113
20, 10, 6, 182
15, 10, 6, 126
17, 10, 6, 154
14, 10, 6, 25
22, 10, 6, 86
15, 10, 6, 63
15, 32, 2, 2
15, 32, 2, 8
16, 32, 2, 2
15, 32, 2, 1
15, 32, 2, 1
13, 32, 2, 3
15, 32, 2, 2
15, 32, 2, 3
14, 32, 2, 3
13, 32, 2, 13
16, 32, 3, 8
16, 32, 3, 4
15, 32, 3, 3
14, 32, 3, 13
16, 32, 3, 1
16, 32, 3, 0
14, 32, 3, 7
15, 32, 3, 8
15, 32, 3, 2
16, 32, 3, 2
16, 32, 4, 22
16, 32, 4, 2
26, 32, 4, 2
15, 32, 4, 6
16, 32, 4, 20
15, 32, 4, 3
15, 32, 4, 8
16, 32, 4, 11
17, 32, 4, 2
17, 32, 4, 7
24, 32, 6, 1
19, 32, 6, 20
23, 32, 6, 13
18, 32, 6, 33
19, 32, 6, 39
17, 32, 6, 33
26, 32, 6, 21
17, 32, 6, 20
16, 32, 6, 15
17, 32, 6, 5
21, 100, 2, 2
22, 100, 2, 0
22, 100, 2, 1
23, 100, 2, 0
22, 100, 2, 1
21, 100, 2, 2
21, 100, 2, 2
22, 100, 2, 1
22, 100, 2, 1
21, 100, 2, 0
23, 100, 3, 4
26, 100, 3, 0
23, 100, 3, 0
22, 100, 3, 4
23, 100, 3, 0
24, 100, 3, 0
21, 100, 3, 3
22, 100, 3, 4
22, 100, 3, 3
24, 100, 3, 2
23, 100, 4, 3
22, 100, 4, 5
23, 100, 4, 3
25, 100, 4, 0
24, 100, 4, 0
24, 100, 4, 6
24, 100, 4, 0
22, 100, 4, 8
31, 100, 4, 0
35, 100, 4, 0
27, 100, 6, 12
29, 100, 6, 1
27, 100, 6, 6
27, 100, 6, 9
30, 100, 6, 3
26, 100, 6, 3
27, 100, 6, 0
26, 100, 6, 2
26, 100, 6, 5
25, 100, 6, 5
46, 316, 2, 0
46, 316, 2, 0
46, 316, 2, 0
49, 316, 2, 1
48, 316, 2, 1
46, 316, 2, 0
51, 316, 2, 0
45, 316, 2, 0
47, 316, 2, 0
48, 316, 2, 0
49, 316, 3, 0
49, 316, 3, 0
49, 316, 3, 0
48, 316, 3, 0
49, 316, 3, 0
49, 316, 3, 2
48, 316, 3, 0
50, 316, 3, 2
51, 316, 3, 0
50, 316, 3, 0
51, 316, 4, 0
49, 316, 4, 0
52, 316, 4, 0
50, 316, 4, 0
51, 316, 4, 0
68, 316, 4, 0
71, 316, 4, 0
54, 316, 4, 0
72, 316, 4, 3
51, 316, 4, 2
69, 316, 6, 1
53, 316, 6, 4
59, 316, 6, 0
60, 316, 6, 0
55, 316, 6, 0
54, 316, 6, 0
53, 316, 6, 1
58, 316, 6, 0
55, 316, 6, 0
53, 316, 6, 1
128, 1000, 2, 0
128, 1000, 2, 0
127, 1000, 2, 0
149, 1000, 2, 0
128, 1000, 2, 0
195, 1000, 2, 0
197, 1000, 2, 0
197, 1000, 2, 0
163, 1000, 2, 0
138, 1000, 2, 0
142, 1000, 3, 0
129, 1000, 3, 0
227, 1000, 3, 0
141, 1000, 3, 0
132, 1000, 3, 0
158, 1000, 3, 0
132, 1000, 3, 0
129, 1000, 3, 0
131, 1000, 3, 0
142, 1000, 3, 0
134, 1000, 4, 0
134, 1000, 4, 0
138, 1000, 4, 0
135, 1000, 4, 0
134, 1000, 4, 0
135, 1000, 4, 0
159, 1000, 4, 0
134, 1000, 4, 0
134, 1000, 4, 0
135, 1000, 4, 0
142, 1000, 6, 0
143, 1000, 6, 0
142, 1000, 6, 0
153, 1000, 6, 0
142, 1000, 6, 0
139, 1000, 6, 0
141, 1000, 6, 0
145, 1000, 6, 0
184, 1000, 6, 3
186, 1000, 6, 0
